REPORT_RECEIVED_DATE,IYEAR,REPORT_TYPE,OPERATOR_ID,NAME,OPERATOR_CITY_NAME,OPERATOR_STATE_ABBREVIATION,COMMODITY_RELEASED_TYPE,UNINTENTIONAL_RELEASE,INTENTIONAL_RELEASE,FATALITY_IND,FATAL,INJURY_IND,INJURE,SHUTDOWN_DUE_ACCIDENT_IND,SHUTDOWN_DATETIME,RESTART_DATETIME,IGNITE_IND,UPSTREAM_ACTION_TAKEN,ON_OFF_SHORE,LOCATION_TYPE,INCIDENT_AREA_TYPE,INCIDENT_AREA_SUBTYPE,DEPTH_OF_COVER,CROSSING,SYSTEM_PART_INVOLVED,ITEM_INVOLVED,PIPE_DIAMETER,PIPE_MANUFACTURER,COATING,COATING_APPLIED_IND,INSTALLATION_YEAR,MANUFACTURED_YEAR,MATERIAL_INVOLVED,RELEASE_TYPE,PUNCTURE_AXIAL,PUNCTURE_CIRCUM,LEAK_TYPE,CLASS_LOCATION_TYPE,COULD_BE_HCA,PIR_RADIUS,HEAT_DAMAGE_IND,EST_COST_OPER_PAID,EST_COST_UNINTENTIONAL_RELEASE,EST_COST_INTENTIONAL_RELEASE,EST_COST_PROP_DAMAGE,EST_COST_EMERGENCY,GAS_COST_IN_MCF,PRPTY,NUM_PERSONS_HOSP_NOT_OVNGHT,NUM_INJURED_TREATED_BY_EMT,NUM_RESIDENT_BUILDING_AFFCTD,NUM_BUSINESS_BUILDING_AFFCTD,WILDLIFE_IMPACT_IND,ACCIDENT_PSIG,GAS_FLOW_IN_PIPE_IN_MCF,MOP_PSIG,ACCIDENT_PRESSURE,PIPELINE_FUNCTION,ACCIDENT_IDENTIFIER,INVESTIGATION_STATUS,CAUSE,CAUSE_DETAILS,INCIDENT
5/15/2020,2020,SUPPLEMENTAL FINAL,12874,"DOMINION ENERGY QUESTAR PIPELINE, LLC",SALT LAKE CITY,UT,NATURAL GAS,98,4404,NO,0,NO,0,YES,4/15/2020 17:21,5/13/2020 13:47,YES,VALVE CLOSURE,ONSHORE,OPERATOR-CONTROLLED PROPERTY,ABOVEGROUND,TYPICAL ABOVEGROUND FACILITY PIPING OR APPURTENANCE,,NO,"ONSHORE PIPELINE, INCLUDING VALVE SITES",TUBING,,,0,,2014,UNKNOWN,CARBON STEEL,LEAK,,,OTHER,CLASS 3 LOCATION,YES,370,NO,0,133,5967,110000,2000,1.355,118100,0,0,0,0,NO,700,45000,849,PRESSURE DID NOT EXCEED MAOP,TRANSMISSION SYSTEM,"SCADA-BASED INFORMATION (SUCH AS ALARM(S), ALERT(S), EVENT(S), AND/OR VOLUME OR PACK CALCULATIONS)","NO, THE OPERATOR DID NOT FIND THAT AN INVESTIGATION OF THE CONTROLLER(S) ACTIONS OR CONTROL ROOM ISSUES WAS NECESSARY DUE TO: (PROVIDE AN EXPLANATION FOR WHY THE OPERATOR DID NOT INVESTIGATE)",OTHER OUTSIDE FORCE DAMAGE,ELECTRICAL ARCING FROM OTHER EQUIPMENT OR FACILITY,1
5/20/2020,2020,SUPPLEMENTAL FINAL,2748,CONSUMERS ENERGY CO,JACKSON,MI,NATURAL GAS,1008,0,NO,0,NO,0,NO,,,NO,OPERATIONAL CONTROL,ONSHORE,PIPELINE RIGHT-OF-WAY,UNDERGROUND,UNDER SOIL,84,NO,"ONSHORE PIPELINE, INCLUDING VALVE SITES",FLANGE ASSEMBLY,,,0,,1968,UNKNOWN,CARBON STEEL,LEAK,,,CONNECTION FAILURE,CLASS 3 LOCATION,YES,182,NO,0,2953,0,1005527,140,2.93,1008620,0,0,0,0,NO,259,8136,275,PRESSURE DID NOT EXCEED MAOP,TRANSMISSION LINE OF DISTRIBUTION SYSTEM,"LOCAL OPERATING PERSONNEL, INCLUDING CONTRACTORS","NO, THE FACILITY WAS NOT MONITORED BY A CONTROLLER(S) AT THE TIME OF THE INCIDENT",EQUIPMENT FAILURE,NON-THREADED CONNECTION FAILURE,1
5/12/2020,2020,ORIGINAL FINAL,19270,"TEXAS GAS TRANSMISSION, LLC",HOUSTON,TX,NATURAL GAS,4100,0,NO,0,NO,0,NO,,,NO,,ONSHORE,OPERATOR-CONTROLLED PROPERTY,ABOVEGROUND,TYPICAL ABOVEGROUND FACILITY PIPING OR APPURTENANCE,,NO,ONSHORE COMPRESSOR STATION EQUIPMENT AND PIPING,VALVE,,,0,,1956,1956,CARBON STEEL,OTHER,,,,CLASS 1 LOCATION,NO,101,NO,0,6683,0,215,189,1.63,7087,0,0,0,0,NO,998,400000,1050,PRESSURE DID NOT EXCEED MAOP,TRANSMISSION SYSTEM,NOTIFICATION FROM PUBLIC,"YES, SPECIFY INVESTIGATION RESULT(S): (SELECT ALL THAT APPLY)",EQUIPMENT FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,1
5/15/2020,2020,SUPPLEMENTAL FINAL,602,"ENABLE GAS TRANSMISSION, LLC",HOUSTON,TX,NATURAL GAS,200,0,NO,0,NO,0,NO,,,NO,OPERATIONAL CONTROL,ONSHORE,PIPELINE RIGHT-OF-WAY,UNDERGROUND,UNDER SOIL,,NO,"ONSHORE PIPELINE, INCLUDING VALVE SITES","WELD/FUSION, INCLUDING HEAT-AFFECTED ZONE",4,UNKNOWN,COAL TAR,YES,1957,1957,CARBON STEEL,LEAK,,,PINHOLE,CLASS 3 LOCATION,NO,55,NO,0,348,0,122800,1000,1.74,124148,0,0,0,0,NO,295,1000,310,PRESSURE DID NOT EXCEED MAOP,TRANSMISSION SYSTEM,GROUND PATROL BY OPERATOR OR ITS CONTRACTOR,"NO, THE OPERATOR DID NOT FIND THAT AN INVESTIGATION OF THE CONTROLLER(S) ACTIONS OR CONTROL ROOM ISSUES WAS NECESSARY DUE TO: (PROVIDE AN EXPLANATION FOR WHY THE OPERATOR DID NOT INVESTIGATE)",MATERIAL FAILURE OF PIPE OR WELD,"DESIGN-, CONSTRUCTION-, INSTALLATION-, OR FABRICATION-RELATED",1
5/14/2020,2020,ORIGINAL FINAL,15105,PANHANDLE EASTERN PIPELINE CO,HOUSTON,TX,NATURAL GAS,3800,0,NO,0,NO,0,NO,,,NO,,ONSHORE,OPERATOR-CONTROLLED PROPERTY,ABOVEGROUND,TYPICAL ABOVEGROUND FACILITY PIPING OR APPURTENANCE,,NO,ONSHORE COMPRESSOR STATION EQUIPMENT AND PIPING,"ESD SYSTEM, BUT EXCLUDING PRODUCT DRAIN LINES AND TUBING",,,0,,UNKNOWN,UNKNOWN,CARBON STEEL,OTHER,,,,CLASS 1 LOCATION,NO,179,NO,0,8664,0,0,0,2.28,8664,0,0,0,0,NO,500,350,900,PRESSURE DID NOT EXCEED MAOP,TRANSMISSION SYSTEM,"LOCAL OPERATING PERSONNEL, INCLUDING CONTRACTORS","NO, THE OPERATOR DID NOT FIND THAT AN INVESTIGATION OF THE CONTROLLER(S) ACTIONS OR CONTROL ROOM ISSUES WAS NECESSARY DUE TO: (PROVIDE AN EXPLANATION FOR WHY THE OPERATOR DID NOT INVESTIGATE)",EQUIPMENT FAILURE,OTHER EQUIPMENT FAILURE,1
5/6/2020,2020,SUPPLEMENTAL FINAL,31618,ENTERPRISE PRODUCTS OPERATING LLC,HOUSTON,TX,NATURAL GAS,30300,0,NO,0,NO,0,YES,4/9/2020 18:37,4/11/2020 22:05,NO,VALVE CLOSURE,ONSHORE,PIPELINE RIGHT-OF-WAY,UNDERGROUND,UNDER SOIL,60,NO,"ONSHORE PIPELINE, INCLUDING VALVE SITES",PIPE,20,YOUNGSTOWN STEEL,COAL TAR,UNKNOWN,1949,UNKNOWN,CARBON STEEL,RUPTURE,,,,CLASS 2 LOCATION,NO,342,NO,50000,46965,0,46965,10000,1.55,155930,0,0,0,0,NO,505,0,612,PRESSURE DID NOT EXCEED MAOP,TRANSMISSION SYSTEM,"SCADA-BASED INFORMATION (SUCH AS ALARM(S), ALERT(S), EVENT(S), AND/OR VOLUME OR PACK CALCULATIONS)","NO, THE OPERATOR DID NOT FIND THAT AN INVESTIGATION OF THE CONTROLLER(S) ACTIONS OR CONTROL ROOM ISSUES WAS NECESSARY DUE TO: (PROVIDE AN EXPLANATION FOR WHY THE OPERATOR DID NOT INVESTIGATE)",MATERIAL FAILURE OF PIPE OR WELD,ORIGINAL MANUFACTURING-RELATED (NOT GIRTH WELD OR OTHER WELDS FORMED IN THE FIELD),1
4/28/2020,2020,SUPPLEMENTAL FINAL,32099,ENERGY TRANSFER COMPANY,HOUSTON,TX,NATURAL GAS,0,0,NO,0,NO,0,,,,NO,,ONSHORE,OPERATOR-CONTROLLED PROPERTY,ABOVEGROUND,INSIDE A BUILDING,,NO,ONSHORE REGULATOR/METERING STATION EQUIPMENT AND PIPING,REGULATOR/CONTROL VALVE,,,0,,1991,1989,CARBON STEEL,OTHER,,,,CLASS 1 LOCATION,NO,45,NO,0,0,0,0,0,0,0,0,0,0,0,NO,117,0.01,668,PRESSURE DID NOT EXCEED MAOP,TRANSMISSION LINE OF DISTRIBUTION SYSTEM,OTHER,"NO, THE OPERATOR DID NOT FIND THAT AN INVESTIGATION OF THE CONTROLLER(S) ACTIONS OR CONTROL ROOM ISSUES WAS NECESSARY DUE TO: (PROVIDE AN EXPLANATION FOR WHY THE OPERATOR DID NOT INVESTIGATE)",INCORRECT OPERATION,"VALVE LEFT OR PLACED IN WRONG POSITION, BUT NOT RESULTING IN AN OVERPRESSURE",1
5/1/2020,2020,SUPPLEMENTAL FINAL,19610,TRANSWESTERN PIPELINE COMPANY LLC,HOUSTON,TX,NATURAL GAS,13266,0,NO,0,NO,0,NO,,,NO,,ONSHORE,OPERATOR-CONTROLLED PROPERTY,ABOVEGROUND,TYPICAL ABOVEGROUND FACILITY PIPING OR APPURTENANCE,,NO,ONSHORE COMPRESSOR STATION EQUIPMENT AND PIPING,COMPRESSOR,,,0,,UNKNOWN,1997,CARBON STEEL,OTHER,,,,CLASS 1 LOCATION,NO,236,NO,0,15389,0,0,0,1.16,15389,0,0,0,0,NO,978,26.9,1172,PRESSURE DID NOT EXCEED MAOP,TRANSMISSION SYSTEM,NOTIFICATION FROM PUBLIC,"NO, THE OPERATOR DID NOT FIND THAT AN INVESTIGATION OF THE CONTROLLER(S) ACTIONS OR CONTROL ROOM ISSUES WAS NECESSARY DUE TO: (PROVIDE AN EXPLANATION FOR WHY THE OPERATOR DID NOT INVESTIGATE)",EQUIPMENT FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,1
5/5/2020,2020,SUPPLEMENTAL FINAL,32005,"ENLINK PROCESSING SERVICES, LLC",DALLAS,TX,NATURAL GAS,11600,0,NO,0,NO,0,YES,4/6/2020 7:58,5/23/2020 14:00,NO,VALVE CLOSURE,ONSHORE,PIPELINE RIGHT-OF-WAY,UNDERGROUND,EXPOSED DUE TO LOSS OF COVER,,YES,"ONSHORE PIPELINE, INCLUDING VALVE SITES",PIPE,8,REPUBLIC STEEL,COAL TAR,UNKNOWN,1974,1973,CARBON STEEL,OTHER,,,,CLASS 1 LOCATION,NO,160,NO,0,20080,0,960360,0,1.731,980440,0,0,0,0,NO,347,11600,720,PRESSURE DID NOT EXCEED MAOP,TRANSMISSION SYSTEM,"SCADA-BASED INFORMATION (SUCH AS ALARM(S), ALERT(S), EVENT(S), AND/OR VOLUME OR PACK CALCULATIONS)","YES, SPECIFY INVESTIGATION RESULT(S): (SELECT ALL THAT APPLY)",OTHER INCIDENT CAUSE,UNKNOWN,1
5/1/2020,2020,SUPPLEMENTAL FINAL,4060,DOMINION ENERGY OHIO,CLEVELAND,OH,NATURAL GAS,4780,8998,NO,0,NO,0,YES,4/5/2020 21:18,4/17/2020 11:38,NO,VALVE CLOSURE,ONSHORE,PIPELINE RIGHT-OF-WAY,UNDERGROUND,UNDER SOIL,216,YES,"ONSHORE PIPELINE, INCLUDING VALVE SITES",PIPE,30,REPUBLIC/BETHLEHEM STEEL,COAL TAR,UNKNOWN,1965,1965,CARBON STEEL,LEAK,,,CRACK,CLASS 1 LOCATION,YES,633,NO,66919,8963,16871,807905,56144,1.875,956802,0,0,0,0,NO,733,489000,820,PRESSURE DID NOT EXCEED MAOP,TRANSMISSION SYSTEM,NOTIFICATION FROM PUBLIC,"NO, THE OPERATOR DID NOT FIND THAT AN INVESTIGATION OF THE CONTROLLER(S) ACTIONS OR CONTROL ROOM ISSUES WAS NECESSARY DUE TO: (PROVIDE AN EXPLANATION FOR WHY THE OPERATOR DID NOT INVESTIGATE)",EXCAVATION DAMAGE,PREVIOUS DAMAGE DUE TO EXCAVATION ACTIVITY,1
5/1/2020,2020,SUPPLEMENTAL FINAL,31348,ATMOS ENERGY CORPORATION - MID-TEX,DALLAS,TX,NATURAL GAS,258,308,NO,0,NO,0,YES,4/3/2020 18:19,4/4/2020 4:58,NO,,ONSHORE,PIPELINE RIGHT-OF-WAY,ABOVEGROUND,TYPICAL ABOVEGROUND FACILITY PIPING OR APPURTENANCE,,NO,ONSHORE REGULATOR/METERING STATION EQUIPMENT AND PIPING,METER,,,0,,UNKNOWN,UNKNOWN,CARBON STEEL,OTHER,,,,CLASS 4 LOCATION,YES,276,NO,0,994,1186,73275,9351,3.852,84806,0,0,0,1,NO,311,48000,400,PRESSURE DID NOT EXCEED MAOP,TRANSMISSION LINE OF DISTRIBUTION SYSTEM,NOTIFICATION FROM EMERGENCY RESPONDER,"NO, THE OPERATOR DID NOT FIND THAT AN INVESTIGATION OF THE CONTROLLER(S) ACTIONS OR CONTROL ROOM ISSUES WAS NECESSARY DUE TO: (PROVIDE AN EXPLANATION FOR WHY THE OPERATOR DID NOT INVESTIGATE)",EXCAVATION DAMAGE,EXCAVATION DAMAGE BY THIRD PARTY,1
5/1/2020,2020,SUPPLEMENTAL FINAL,13769,NORTHERN BORDER PIPELINE COMPANY,HOUSTON,TX,NATURAL GAS,35490,700,NO,0,NO,0,YES,4/2/2020 1:40,4/2/2020 7:45,NO,,ONSHORE,OPERATOR-CONTROLLED PROPERTY,ABOVEGROUND,TYPICAL ABOVEGROUND FACILITY PIPING OR APPURTENANCE,,NO,ONSHORE COMPRESSOR STATION EQUIPMENT AND PIPING,VALVE,,,0,,UNKNOWN,UNKNOWN,MATERIAL OTHER THAN CARBON STEEL OR PLASTIC,OTHER,,,,CLASS 1 LOCATION,NO,1221,NO,0,61753,1218,0,0,1.74,62971,0,0,0,0,NO,1020,200900,1435,PRESSURE DID NOT EXCEED MAOP,TRANSMISSION SYSTEM,"LOCAL OPERATING PERSONNEL, INCLUDING CONTRACTORS","NO, THE OPERATOR DID NOT FIND THAT AN INVESTIGATION OF THE CONTROLLER(S) ACTIONS OR CONTROL ROOM ISSUES WAS NECESSARY DUE TO: (PROVIDE AN EXPLANATION FOR WHY THE OPERATOR DID NOT INVESTIGATE)",EQUIPMENT FAILURE,OTHER EQUIPMENT FAILURE,1
4/28/2020,2020,SUPPLEMENTAL FINAL,11248,LAS VEGAS NATURAL GAS SYSTEM,LAS VEGAS,NM,NATURAL GAS,156.2,0,NO,0,NO,0,NO,,,NO,OPERATIONAL CONTROL,ONSHORE,PIPELINE RIGHT-OF-WAY,UNDERGROUND,EXPOSED DUE TO EXCAVATION,24,NO,"ONSHORE PIPELINE, INCLUDING VALVE SITES",PIPE,8,UNKNOWN,COAL TAR,YES,UNKNOWN,UNKNOWN,CARBON STEEL,MECHANICAL PUNCTURE,,,,CLASS 1 LOCATION,NO,96,NO,0,12824,0,63594,2000,82.1,79418,0,0,0,0,NO,295,4489,300,PRESSURE DID NOT EXCEED MAOP,TRANSMISSION SYSTEM,OTHER,"NO, THE FACILITY WAS NOT MONITORED BY A CONTROLLER(S) AT THE TIME OF THE INCIDENT",EXCAVATION DAMAGE,EXCAVATION DAMAGE BY THIRD PARTY,1
5/1/2020,2020,SUPPLEMENTAL FINAL,32626,"THIRD COAST ALABAMA, LLC",HOUSTON,TX,NATURAL GAS,148.129,1025,NO,0,NO,0,YES,3/28/2020 11:41,5/15/2020 8:25,NO,VALVE CLOSURE,ONSHORE,PIPELINE RIGHT-OF-WAY,UNDERGROUND,UNDER SOIL,36,NO,"ONSHORE PIPELINE, INCLUDING VALVE SITES",PIPE,12,UNKNOWN,COAL TAR,NO,1949,1948,CARBON STEEL,LEAK,,,PINHOLE,CLASS 1 LOCATION,NO,185,NO,0,300,2076,225000,5000,2.025,232376,0,0,0,0,NO,460,20000,500,PRESSURE DID NOT EXCEED MAOP,TRANSMISSION SYSTEM,NOTIFICATION FROM PUBLIC,"NO, THE OPERATOR DID NOT FIND THAT AN INVESTIGATION OF THE CONTROLLER(S) ACTIONS OR CONTROL ROOM ISSUES WAS NECESSARY DUE TO: (PROVIDE AN EXPLANATION FOR WHY THE OPERATOR DID NOT INVESTIGATE)",CORROSION FAILURE,EXTERNAL CORROSION,1
4/22/2020,2020,SUPPLEMENTAL FINAL,15105,PANHANDLE EASTERN PIPELINE CO,HOUSTON,TX,NATURAL GAS,0.3,285,YES,1,NO,0,YES,3/27/2020 7:00,7/15/2020 13:00,NO,OPERATIONAL CONTROL,ONSHORE,OPERATOR-CONTROLLED PROPERTY,ABOVEGROUND,TYPICAL ABOVEGROUND FACILITY PIPING OR APPURTENANCE,,NO,"ONSHORE PIPELINE, INCLUDING VALVE SITES",SCRAPER/PIG TRAP,,,0,,1981,1981,CARBON STEEL,OTHER,,,,CLASS 1 LOCATION,NO,381,NO,0,0,194,0,305,0.68,21139,0,1,0,0,NO,936,50000,1875,PRESSURE DID NOT EXCEED MAOP,TRANSMISSION SYSTEM,"LOCAL OPERATING PERSONNEL, INCLUDING CONTRACTORS","NO, THE OPERATOR DID NOT FIND THAT AN INVESTIGATION OF THE CONTROLLER(S) ACTIONS OR CONTROL ROOM ISSUES WAS NECESSARY DUE TO: (PROVIDE AN EXPLANATION FOR WHY THE OPERATOR DID NOT INVESTIGATE)",INCORRECT OPERATION,OTHER INCORRECT OPERATION ,1
4/22/2020,2020,SUPPLEMENTAL FINAL,602,"ENABLE GAS TRANSMISSION, LLC",HOUSTON,TX,NATURAL GAS,157000,0,NO,0,NO,0,YES,3/26/2020 19:25,3/27/2020 14:25,NO,VALVE CLOSURE,ONSHORE,PIPELINE RIGHT-OF-WAY,UNDERGROUND,UNDER SOIL,12,NO,"ONSHORE PIPELINE, INCLUDING VALVE SITES",PIPE,16,UNKNOWN,PARTIALLY WRAPPED IN TAPE WITH A TAR LIKE SUBSTANCE BETWEEN TAPE AND PIPE OD.,YES,1950,1950,CARBON STEEL,RUPTURE,,,,CLASS 1 LOCATION,NO,175,NO,0,274750,0,165000,10000,1.75,449750,0,0,0,0,NO,225,4000,250,PRESSURE DID NOT EXCEED MAOP,TRANSMISSION SYSTEM,"SCADA-BASED INFORMATION (SUCH AS ALARM(S), ALERT(S), EVENT(S), AND/OR VOLUME OR PACK CALCULATIONS)","YES, SPECIFY INVESTIGATION RESULT(S): (SELECT ALL THAT APPLY)",CORROSION FAILURE,EXTERNAL CORROSION,1
4/23/2020,2020,SUPPLEMENTAL FINAL,2616,"COLUMBIA GAS TRANSMISSION, LLC",HOUSTON,TX,NATURAL GAS,8538,84.7,NO,0,NO,0,YES,3/28/2020 18:55,4/24/2020 12:00,NO,VALVE CLOSURE,ONSHORE,PIPELINE RIGHT-OF-WAY,UNDERGROUND,OTHER,,YES,"ONSHORE PIPELINE, INCLUDING VALVE SITES",PIPE,6,UNKNOWN,NONE,UNKNOWN,1954,UNKNOWN,CARBON STEEL,LEAK,,,PINHOLE,CLASS 1 LOCATION,NO,140,NO,0,3966,131,2268855,0,1.55,2272952,0,0,0,0,NO,185,328,280,PRESSURE DID NOT EXCEED MAOP,TRANSMISSION SYSTEM,NOTIFICATION FROM PUBLIC,"NO, THE FACILITY WAS NOT MONITORED BY A CONTROLLER(S) AT THE TIME OF THE INCIDENT",CORROSION FAILURE,EXTERNAL CORROSION,1
4/22/2020,2020,SUPPLEMENTAL FINAL,2616,"COLUMBIA GAS TRANSMISSION, LLC",HOUSTON,TX,NATURAL GAS,15900,528,NO,0,NO,0,YES,3/24/2020 18:03,4/6/2020 11:10,NO,VALVE CLOSURE,ONSHORE,OPERATOR-CONTROLLED PROPERTY,TRANSITION AREA,SOIL/AIR INTERFACE,,NO,"ONSHORE PIPELINE, INCLUDING VALVE SITES",PIPE,8,UNKNOWN,CANUSA TAPE WRAP,YES,1990,UNKNOWN,CARBON STEEL,LEAK,,,PINHOLE,CLASS 1 LOCATION,NO,189,NO,0,24645,818,270900,0,1.55,296363,0,0,13,0,NO,600,5830,1000,PRESSURE DID NOT EXCEED MAOP,TRANSMISSION SYSTEM,"LOCAL OPERATING PERSONNEL, INCLUDING CONTRACTORS","NO, THE OPERATOR DID NOT FIND THAT AN INVESTIGATION OF THE CONTROLLER(S) ACTIONS OR CONTROL ROOM ISSUES WAS NECESSARY DUE TO: (PROVIDE AN EXPLANATION FOR WHY THE OPERATOR DID NOT INVESTIGATE)",CORROSION FAILURE,EXTERNAL CORROSION,1
4/6/2020,2020,SUPPLEMENTAL FINAL,19270,"TEXAS GAS TRANSMISSION, LLC",HOUSTON,TX,NATURAL GAS,1,2709,NO,0,NO,0,YES,3/21/2020 21:00,3/25/2020 15:00,NO,VALVE CLOSURE,ONSHORE,PIPELINE RIGHT-OF-WAY,UNDERGROUND,UNDER SOIL,42,NO,"ONSHORE PIPELINE, INCLUDING VALVE SITES","WELD/FUSION, INCLUDING HEAT-AFFECTED ZONE",20,AO SMITH,COAL TAR,UNKNOWN,1949,1949,CARBON STEEL,LEAK,,,PINHOLE,CLASS 2 LOCATION,NO,461,NO,0,2,4930,85000,1500,1.82,91432,0,0,0,0,NO,690,165000,931,PRESSURE DID NOT EXCEED MAOP,TRANSMISSION SYSTEM,NOTIFICATION FROM EMERGENCY RESPONDER,"YES, SPECIFY INVESTIGATION RESULT(S): (SELECT ALL THAT APPLY)",MATERIAL FAILURE OF PIPE OR WELD,"DESIGN-, CONSTRUCTION-, INSTALLATION-, OR FABRICATION-RELATED",1
4/15/2020,2020,SUPPLEMENTAL FINAL,31711,"SOUTHERN STAR CENTRAL GAS PIPELINE, INC",OWENSBORO,KY,NATURAL GAS,3924,0,NO,0,NO,0,NO,,,NO,,ONSHORE,OPERATOR-CONTROLLED PROPERTY,ABOVEGROUND,TYPICAL ABOVEGROUND FACILITY PIPING OR APPURTENANCE,,NO,ONSHORE REGULATOR/METERING STATION EQUIPMENT AND PIPING,REGULATOR/CONTROL VALVE,,,0,,2015,2014,CARBON STEEL,OTHER,,,,CLASS 1 LOCATION,NO,428,NO,0,6357,0,500,0,1.62,6857,0,0,0,0,NO,954,20438,960,PRESSURE DID NOT EXCEED MAOP,TRANSMISSION SYSTEM,NOTIFICATION FROM PUBLIC,"NO, THE OPERATOR DID NOT FIND THAT AN INVESTIGATION OF THE CONTROLLER(S) ACTIONS OR CONTROL ROOM ISSUES WAS NECESSARY DUE TO: (PROVIDE AN EXPLANATION FOR WHY THE OPERATOR DID NOT INVESTIGATE)",EQUIPMENT FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,1
3/26/2020,2020,ORIGINAL FINAL,31728,"GULF SOUTH PIPELINE COMPANY, LLC",HOUSTON,TX,NATURAL GAS,13532,0,NO,0,NO,0,NO,,,NO,,ONSHORE,OPERATOR-CONTROLLED PROPERTY,UNDERGROUND,UNDER SOIL,13,NO,ONSHORE COMPRESSOR STATION EQUIPMENT AND PIPING,COMPRESSOR,,,0,,2007,2007,CARBON STEEL,OTHER,,,,CLASS 1 LOCATION,NO,115,NO,0,24628,0,2500,200,1.82,27328,0,0,0,0,NO,694,600000,1202,PRESSURE DID NOT EXCEED MAOP,TRANSMISSION SYSTEM,"SCADA-BASED INFORMATION (SUCH AS ALARM(S), ALERT(S), EVENT(S), AND/OR VOLUME OR PACK CALCULATIONS)","YES, SPECIFY INVESTIGATION RESULT(S): (SELECT ALL THAT APPLY)",EQUIPMENT FAILURE,COMPRESSOR OR COMPRESSOR-RELATED EQUIPMENT,1
4/10/2020,2020,SUPPLEMENTAL FINAL,2620,"COLUMBIA GULF TRANSMISSION, LLC",HOUSTON ,TX,NATURAL GAS,7313,0,NO,0,NO,0,NO,,,NO,,ONSHORE,OPERATOR-CONTROLLED PROPERTY,ABOVEGROUND,TYPICAL ABOVEGROUND FACILITY PIPING OR APPURTENANCE,,NO,ONSHORE COMPRESSOR STATION EQUIPMENT AND PIPING,COMPRESSOR,,,0,,2006,UNKNOWN,CARBON STEEL,OTHER,,,,CLASS 1 LOCATION,NO,152,NO,0,12725,0,0,0,1.74,13725,0,0,0,0,NO,725,278061,1007,PRESSURE DID NOT EXCEED MAOP,TRANSMISSION SYSTEM,"SCADA-BASED INFORMATION (SUCH AS ALARM(S), ALERT(S), EVENT(S), AND/OR VOLUME OR PACK CALCULATIONS)","NO, THE OPERATOR DID NOT FIND THAT AN INVESTIGATION OF THE CONTROLLER(S) ACTIONS OR CONTROL ROOM ISSUES WAS NECESSARY DUE TO: (PROVIDE AN EXPLANATION FOR WHY THE OPERATOR DID NOT INVESTIGATE)",EQUIPMENT FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,1
4/8/2020,2020,ORIGINAL FINAL,39597,"VALLEY CROSSING PIPELINE, LLC",HOUSTON,TX,NATURAL GAS,3538,0,NO,0,NO,0,YES,3/12/2020 13:44,3/12/2020 16:45,NO,,ONSHORE,OPERATOR-CONTROLLED PROPERTY,ABOVEGROUND,TYPICAL ABOVEGROUND FACILITY PIPING OR APPURTENANCE,,NO,ONSHORE COMPRESSOR STATION EQUIPMENT AND PIPING,"ESD SYSTEM, BUT EXCLUDING PRODUCT DRAIN LINES AND TUBING",,,0,,2018,UNKNOWN,CARBON STEEL,OTHER,,,,CLASS 1 LOCATION,NO,1386,NO,0,6651,0,1007,0,1.88,7658,0,0,0,0,NO,1572,0,1750,PRESSURE DID NOT EXCEED MAOP,TRANSMISSION SYSTEM,"LOCAL OPERATING PERSONNEL, INCLUDING CONTRACTORS","NO, THE OPERATOR DID NOT FIND THAT AN INVESTIGATION OF THE CONTROLLER(S) ACTIONS OR CONTROL ROOM ISSUES WAS NECESSARY DUE TO: (PROVIDE AN EXPLANATION FOR WHY THE OPERATOR DID NOT INVESTIGATE)",EQUIPMENT FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,1
4/2/2020,2020,SUPPLEMENTAL FINAL,18516,SOUTHERN NATURAL GAS CO,HOUSTON,TX,NATURAL GAS,55527,911,NO,0,NO,0,YES,3/5/2020 4:13,3/5/2020 8:13,NO,,ONSHORE,OPERATOR-CONTROLLED PROPERTY,ABOVEGROUND,TYPICAL ABOVEGROUND FACILITY PIPING OR APPURTENANCE,,NO,ONSHORE COMPRESSOR STATION EQUIPMENT AND PIPING,VALVE,,,0,,2003,2002,CARBON STEEL,OTHER,,,,CLASS 1 LOCATION,NO,191,NO,0,95506,1567,3000,250,1.72,100323,0,0,0,0,NO,1076,0,1200,PRESSURE DID NOT EXCEED MAOP,TRANSMISSION SYSTEM,NOTIFICATION FROM PUBLIC,"NO, THE OPERATOR DID NOT FIND THAT AN INVESTIGATION OF THE CONTROLLER(S) ACTIONS OR CONTROL ROOM ISSUES WAS NECESSARY DUE TO: (PROVIDE AN EXPLANATION FOR WHY THE OPERATOR DID NOT INVESTIGATE)",INCORRECT OPERATION,OTHER INCORRECT OPERATION ,1
